,Datapoint Name,Datapoint Id,Property Name,Property Id,Mapped Object Type,Mapped Object Name,Mapped Object Id,Mapped Property Name,Mapped Property Id
24595,CDU4:02F053.STSF Stanlow,8544,Value,-6,Tag,CDU4:02F053.STSF Stanlow,640978,Elu Value,1253
24596,CDU4:02F053DEN Stanlow,553073,Value,-6,Tag,CDU4:02F053DEN Stanlow,640979,Elu Value,1253
24597,CDU4:02F053SP.PHOZ Stanlow,8546,Value,-6,BMS DataPoint,CDU4:02F053SP.PHOZ Stanlow,1662,BMS Value,1
24598,CDU4:02F053SP.PHOZ Stanlow,8546,Value,-6,Tag,CDU4:02F053SP.PHOZ Stanlow,640980,Elu Value,1253
24599,CDU4:02F053SP.SRHI Stanlow,8547,Value,-6,BMS DataPoint,CDU4:02F053SP.SRHI Stanlow,1663,BMS Value,1
24600,CDU4:02F053SP.SRHI Stanlow,8547,Value,-6,Tag,CDU4:02F053SP.SRHI Stanlow,640981,Elu Value,1253
24601,CDU4:02F053SP.SRLO Stanlow,8548,Value,-6,BMS DataPoint,CDU4:02F053SP.SRLO Stanlow,1664,BMS Value,1
24602,CDU4:02F053SP.SRLO Stanlow,8548,Value,-6,Tag,CDU4:02F053SP.SRLO Stanlow,640982,Elu Value,1253
24603,CDU4:02F053SP.STSF Stanlow,8549,Value,-6,BMS DataPoint,CDU4:02F053SP.STSF Stanlow,1665,BMS Value,1
24604,CDU4:02F053SP.STSF Stanlow,8549,Value,-6,Tag,CDU4:02F053SP.STSF Stanlow,640983,Elu Value,1253
24684,CDU4:02F066 Stanlow,8608,Value,-6,BMS DataPoint,CDU4:02F066 Stanlow,1724,BMS Value,1
24685,CDU4:02F066 Stanlow,8608,Value,-6,Tag,CDU4:02F066 Stanlow,640995,Elu Value,1253
24686,CDU4:02F066.CP Stanlow,553096,Value,-6,Tag,CDU4:02F066.CP Stanlow,640996,Elu Value,1253
24687,CDU4:02F066.MODE Stanlow,8610,Value,-6,BMS DataPoint,CDU4:02F066.MODE Stanlow,1726,BMS Value,1
24688,CDU4:02F066.MODE Stanlow,8610,Value,-6,Tag,CDU4:02F066.MODE Stanlow,640997,Elu Value,1253
24689,CDU4:02F066.MOV Stanlow,8611,Value,-6,BMS DataPoint,CDU4:02F066.MOV Stanlow,1727,BMS Value,1
24690,CDU4:02F066.MOV Stanlow,8611,Value,-6,Tag,CDU4:02F066.MOV Stanlow,640998,Elu Value,1253
24691,CDU4:02F066.OP Stanlow,8612,Value,-6,BMS DataPoint,CDU4:02F066.OP Stanlow,1728,BMS Value,1
24692,CDU4:02F066.OP Stanlow,8612,Value,-6,Tag,CDU4:02F066.OP Stanlow,640999,Elu Value,1253
24693,CDU4:02F066.PHOZ Stanlow,8613,Value,-6,BMS DataPoint,CDU4:02F066.PHOZ Stanlow,1729,BMS Value,1
24694,CDU4:02F066.PHOZ Stanlow,8613,Value,-6,Tag,CDU4:02F066.PHOZ Stanlow,641000,Elu Value,1253
24695,CDU4:02F066.SP Stanlow,8614,Value,-6,BMS DataPoint,CDU4:02F066.SP Stanlow,1730,BMS Value,1
24696,CDU4:02F066.SP Stanlow,8614,Value,-6,Tag,CDU4:02F066.SP Stanlow,641001,Elu Value,1253
24697,CDU4:02F066.SPHI Stanlow,8615,Value,-6,BMS DataPoint,CDU4:02F066.SPHI Stanlow,1731,BMS Value,1
24698,CDU4:02F066.SPHI Stanlow,8615,Value,-6,Tag,CDU4:02F066.SPHI Stanlow,641002,Elu Value,1253
24699,CDU4:02F066.SPLO Stanlow,8616,Value,-6,BMS DataPoint,CDU4:02F066.SPLO Stanlow,1732,BMS Value,1
24700,CDU4:02F066.SPLO Stanlow,8616,Value,-6,Tag,CDU4:02F066.SPLO Stanlow,641003,Elu Value,1253
24701,CDU4:02F066.STSF Stanlow,8617,Value,-6,BMS DataPoint,CDU4:02F066.STSF Stanlow,1733,BMS Value,1
24702,CDU4:02F066.STSF Stanlow,8617,Value,-6,Tag,CDU4:02F066.STSF Stanlow,641004,Elu Value,1253
24703,CDU4:02F066.US Stanlow,553097,Value,-6,Tag,CDU4:02F066.US Stanlow,641005,Elu Value,1253
76266,OLDCDU4:CDU4:02F046.TPV Stanlow,556529,Value,-6,Tag,OLDCDU4:CDU4:02F046.TPV Stanlow,641057,Elu Value,1253
76269,OLDCDU4:CDU4:02F052.TPV Stanlow,556532,Value,-6,Tag,OLDCDU4:CDU4:02F052.TPV Stanlow,642097,Elu Value,1253
76270,OLDCDU4:CDU4:02F053HL Stanlow,556533,Value,-6,Tag,OLDCDU4:CDU4:02F053HL Stanlow,641058,Elu Value,1253
